culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,cluster
40.3,18.0,195.0,3250.0,FEMALE,0
36.7,19.3,193.0,3450.0,FEMALE,0
34.1,18.1,193.0,3475.0,,0
37.8,17.1,186.0,3300.0,,0
41.1,17.6,182.0,3200.0,FEMALE,0
38.7,19.0,195.0,3450.0,FEMALE,0
34.4,18.4,184.0,3325.0,FEMALE,0
37.8,18.3,174.0,3400.0,FEMALE,0
40.6,18.6,183.0,3550.0,MALE,0
40.5,17.9,187.0,3200.0,FEMALE,0
37.9,18.6,172.0,3150.0,FEMALE,0
39.5,16.7,178.0,3250.0,FEMALE,0
39.5,17.8,188.0,3300.0,FEMALE,0
36.4,17.0,195.0,3325.0,FEMALE,0
42.2,18.5,180.0,3550.0,FEMALE,0
37.6,19.3,181.0,3300.0,FEMALE,0
36.5,18.0,182.0,3150.0,FEMALE,0
36.0,18.5,186.0,3100.0,FEMALE,0
37.0,16.9,185.0,3000.0,FEMALE,0
41.1,19.0,182.0,3425.0,MALE,0
37.5,18.9,179.0,2975.0,,0
36.0,17.9,190.0,3450.0,FEMALE,0
39.6,17.7,186.0,3500.0,FEMALE,0
35.0,17.9,190.0,3450.0,FEMALE,0
34.5,18.1,187.0,2900.0,FEMALE,0
39.0,17.5,186.0,3550.0,FEMALE,0
36.5,16.6,181.0,2850.0,FEMALE,0
35.7,16.9,185.0,3150.0,FEMALE,0
36.4,17.1,184.0,2850.0,FEMALE,0
35.5,16.2,195.0,3350.0,FEMALE,0
35.9,16.6,190.0,3050.0,FEMALE,0
39.6,17.2,196.0,3550.0,FEMALE,0
36.2,16.1,187.0,3550.0,FEMALE,0
34.6,17.2,189.0,3200.0,FEMALE,0
37.3,17.8,191.0,3350.0,FEMALE,0
41.3,20.3,194.0,3550.0,MALE,0
36.9,18.6,189.0,3500.0,FEMALE,0
35.7,18.0,202.0,3550.0,FEMALE,0
34.0,17.1,185.0,3400.0,FEMALE,0
36.2,17.3,187.0,3300.0,FEMALE,0
33.1,16.1,178.0,2900.0,FEMALE,0
37.7,16.0,183.0,3075.0,FEMALE,0
37.9,18.6,193.0,2925.0,FEMALE,0
39.7,18.9,184.0,3550.0,MALE,0
38.1,17.0,181.0,3175.0,FEMALE,0
39.7,17.7,193.0,3200.0,FEMALE,0
38.6,17.0,188.0,2900.0,FEMALE,0
35.7,17.0,189.0,3350.0,FEMALE,0
41.1,18.6,189.0,3325.0,MALE,0
36.2,17.2,187.0,3150.0,FEMALE,0
37.7,19.8,198.0,3500.0,MALE,0
40.2,17.0,176.0,3450.0,FEMALE,0
35.2,15.9,186.0,3050.0,FEMALE,0
38.8,17.6,191.0,3275.0,FEMALE,0
39.0,17.1,191.0,3050.0,FEMALE,0
38.5,17.9,190.0,3325.0,FEMALE,0
43.1,19.2,197.0,3500.0,MALE,0
36.8,18.5,193.0,3500.0,FEMALE,0
38.1,17.6,187.0,3425.0,FEMALE,0
35.6,17.5,191.0,3175.0,FEMALE,0
37.0,16.5,185.0,3400.0,FEMALE,0
40.2,17.1,193.0,3400.0,FEMALE,0
40.6,17.2,187.0,3475.0,MALE,0
32.1,15.5,188.0,3050.0,FEMALE,0
37.3,16.8,192.0,3000.0,FEMALE,0
36.6,18.4,184.0,3475.0,FEMALE,0
36.0,17.8,195.0,3450.0,FEMALE,0
46.5,17.9,192.0,3500.0,FEMALE,0
45.4,18.7,188.0,3525.0,FEMALE,0
46.1,18.2,178.0,3250.0,FEMALE,0
45.9,17.1,190.0,3575.0,FEMALE,0
50.3,20.0,197.0,3300.0,MALE,0
46.4,18.6,190.0,3450.0,FEMALE,0
48.5,17.5,191.0,3400.0,MALE,0
43.2,16.6,187.0,2900.0,FEMALE,0
46.7,17.9,195.0,3300.0,FEMALE,0
50.5,18.4,200.0,3400.0,FEMALE,0
40.9,16.6,187.0,3200.0,FEMALE,0
42.5,16.7,187.0,3350.0,FEMALE,0
46.9,16.6,192.0,2700.0,FEMALE,0
50.9,19.1,196.0,3550.0,MALE,0
45.5,17.0,196.0,3500.0,FEMALE,0
50.1,17.9,190.0,3400.0,FEMALE,0
51.5,18.7,187.0,3250.0,MALE,0
48.1,16.4,199.0,3325.0,FEMALE,0
42.5,17.3,187.0,3350.0,FEMALE,0
52.2,18.8,197.0,3450.0,MALE,0
45.2,16.6,191.0,3250.0,FEMALE,0
45.6,19.4,194.0,3525.0,FEMALE,0
43.5,18.1,202.0,3400.0,FEMALE,0
