culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,cluster
39.1,18.7,181.0,3750.0,MALE,4
39.5,17.4,186.0,3800.0,FEMALE,4
,,,,,4
39.3,20.6,190.0,3650.0,MALE,4
38.9,17.8,181.0,3625.0,FEMALE,4
37.8,17.3,180.0,3700.0,,4
38.6,21.2,191.0,3800.0,MALE,4
36.6,17.8,185.0,3700.0,FEMALE,4
46.0,21.5,194.0,4200.0,MALE,4
37.7,18.7,180.0,3600.0,MALE,4
35.9,19.2,189.0,3800.0,FEMALE,4
38.2,18.1,185.0,3950.0,MALE,4
38.8,17.2,180.0,3800.0,MALE,4
35.3,18.9,187.0,3800.0,FEMALE,4
40.5,18.9,180.0,3950.0,MALE,4
37.2,18.1,178.0,3900.0,MALE,4
40.9,18.9,184.0,3900.0,MALE,4
39.2,21.1,196.0,4150.0,MALE,4
38.8,20.0,190.0,3950.0,MALE,4
40.8,18.4,195.0,3900.0,MALE,4
42.3,21.2,191.0,4150.0,MALE,4
42.0,19.5,200.0,4050.0,MALE,4
41.4,18.6,191.0,3700.0,MALE,4
40.6,18.8,193.0,3800.0,MALE,4
37.6,19.1,194.0,3750.0,MALE,4
37.6,17.0,185.0,3600.0,FEMALE,4
41.1,18.2,192.0,4050.0,MALE,4
41.6,18.0,192.0,3950.0,MALE,4
41.1,19.1,188.0,4100.0,MALE,4
33.5,19.0,190.0,3600.0,FEMALE,4
39.7,18.4,190.0,3900.0,MALE,4
45.8,18.9,197.0,4150.0,MALE,4
35.5,17.5,190.0,3700.0,FEMALE,4
42.8,18.5,195.0,4250.0,MALE,4
40.9,16.8,191.0,3700.0,FEMALE,4
37.2,19.4,184.0,3900.0,MALE,4
42.1,19.1,195.0,4000.0,MALE,4
36.7,18.8,187.0,3800.0,FEMALE,4
35.1,19.4,193.0,4200.0,MALE,4
36.3,19.5,190.0,3800.0,MALE,4
38.3,19.2,189.0,3950.0,MALE,4
38.9,18.8,190.0,3600.0,FEMALE,4
38.1,18.6,190.0,3700.0,FEMALE,4
43.2,18.5,192.0,4100.0,MALE,4
35.0,17.9,192.0,3725.0,FEMALE,4
37.8,20.0,190.0,4250.0,MALE,4
38.6,17.2,199.0,3750.0,FEMALE,4
38.2,20.0,190.0,3900.0,MALE,4
38.1,16.5,198.0,3825.0,FEMALE,4
39.6,20.7,191.0,3900.0,FEMALE,4
42.7,18.3,196.0,4075.0,MALE,4
37.3,20.5,199.0,3775.0,MALE,4
41.4,18.5,202.0,3875.0,MALE,4
40.6,19.0,199.0,4000.0,MALE,4
44.1,18.0,210.0,4000.0,MALE,4
41.1,17.5,190.0,3900.0,MALE,4
40.2,20.1,200.0,3975.0,MALE,4
39.7,17.9,193.0,4250.0,MALE,4
40.7,17.0,190.0,3725.0,MALE,4
39.0,18.7,185.0,3650.0,MALE,4
39.2,18.6,190.0,4250.0,MALE,4
37.8,18.1,193.0,3750.0,MALE,4
36.0,17.1,187.0,3700.0,FEMALE,4
41.5,18.5,201.0,4000.0,MALE,4
50.0,19.5,196.0,3900.0,MALE,4
51.3,19.2,193.0,3650.0,MALE,4
52.7,19.8,197.0,3725.0,MALE,4
45.2,17.8,198.0,3950.0,FEMALE,4
51.3,18.2,197.0,3750.0,MALE,4
46.0,18.9,195.0,4150.0,FEMALE,4
51.3,19.9,198.0,3700.0,MALE,4
46.6,17.8,193.0,3800.0,FEMALE,4
51.7,20.3,194.0,3775.0,MALE,4
47.0,17.3,185.0,3700.0,FEMALE,4
52.0,18.1,201.0,4050.0,MALE,4
50.5,19.6,201.0,4050.0,MALE,4
58.0,17.8,181.0,3700.0,FEMALE,4
42.4,17.3,181.0,3600.0,FEMALE,4
50.6,19.4,193.0,3800.0,MALE,4
52.0,19.0,197.0,4150.0,MALE,4
49.5,19.0,200.0,3800.0,MALE,4
46.4,17.8,191.0,3700.0,FEMALE,4
51.0,18.8,203.0,4100.0,MALE,4
49.7,18.6,195.0,3600.0,MALE,4
47.5,16.8,199.0,3900.0,FEMALE,4
47.6,18.3,195.0,3850.0,FEMALE,4
49.0,19.5,210.0,3950.0,MALE,4
46.2,17.5,187.0,3650.0,FEMALE,4
50.9,17.9,196.0,3675.0,FEMALE,4
49.8,17.3,198.0,3675.0,FEMALE,4
51.4,19.0,201.0,3950.0,MALE,4
45.7,17.3,193.0,3600.0,FEMALE,4
50.7,19.7,203.0,4050.0,MALE,4
49.3,19.9,203.0,4050.0,MALE,4
50.2,18.8,202.0,3800.0,MALE,4
51.9,19.5,206.0,3950.0,MALE,4
46.8,16.5,189.0,3650.0,FEMALE,4
45.7,17.0,195.0,3650.0,FEMALE,4
55.8,19.8,207.0,4000.0,MALE,4
49.6,18.2,193.0,3775.0,MALE,4
50.8,19.0,210.0,4100.0,MALE,4
50.2,18.7,198.0,3775.0,FEMALE,4
45.8,14.6,210.0,4200.0,FEMALE,4
42.0,13.5,210.0,4150.0,FEMALE,4
44.5,14.3,216.0,4100.0,,4
42.7,13.7,208.0,3950.0,FEMALE,4
45.5,13.9,210.0,4200.0,FEMALE,4
45.3,13.8,208.0,4200.0,FEMALE,4
,,,,,4
